"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774256028684816778","Sun Mar 31 23:47:55 +0000 2024","0","@jokowi #stoptokopedia @tokopedia penanganan terburuk. #noviralnojustice","1774584439194206308","","jokowi","in","","0","0","0","https://x.com/pelanggant37245/status/1774584439194206308","1753787421639188480","pelanggant37245"
"1774117123113332935","Sun Mar 31 23:47:54 +0000 2024","0","@JackLiandoz @jokowi Mudah2an ga dipusaran..","1774584438225264839","","JackLiandoz","in","","0","0","0","https://x.com/nak_Negeri/status/1774584438225264839","1399644212715347969","nak_Negeri"
"1774428428445614270","Sun Mar 31 23:47:43 +0000 2024","6","@balaputra_deva Gak ada ya badan/institusi yg bisa ngawasin perilaku para pemain industri kesehatan? Dimana peran pemerintah ?? @KemenkesRI @BPJSKesehatanRI @jokowi","1774584388334096398","","balaputra_deva","in","","0","0","0","https://x.com/ujangbujrad_/status/1774584388334096398","1613130918281228290","ujangbujrad_"
"1774481921109610496","Sun Mar 31 23:47:25 +0000 2024","0","@elonmuskADO Jokowi","1774584314044538939","","elonmuskADO","in","Latour-de-France, France","0","0","0","https://x.com/Beceng_Aparat/status/1774584314044538939","1593218963265101826","Beceng_Aparat"
"1774005945863147933","Sun Mar 31 23:46:47 +0000 2024","0","@susipudjiastuti @jokowi @prabowo @ListyoSigitP Judi online ini malah sekarang berani terang-terangan ngiklan di beranda facebook kita. Saya juga heran Kominfo ini kerjanya gimana sih situs judi online masih seleweran di media sosial apalagi di pencari google","1774584153507532874","","susipudjiastuti","in","","0","0","0","https://x.com/AnakBorneo150/status/1774584153507532874","1503914297218732033","AnakBorneo150"
"1774583553285816424","Sun Mar 31 23:44:23 +0000 2024","0","Indonesia Kini Berubah JADI NEGARA TERKORUP Di Dunia. DI TANGAN JOKOWI PARA KORUPTOR BERGBUNG DI Paslon O2 KORUPTOR TERTAWA MAFIA MENGGILA OLIGARKI BERKUASA RAKYAT MAKIN SENGSARA DIBODOHI DAN DIBOHONGI PELAN-PELAN DIBIKIN MATI #menembusbatas https://t.co/GcD5BtxFaP","1774583553285816424","https://pbs.twimg.com/ext_tw_video_thumb/1774583541109764096/pu/img/pHqqPW_D1rCyBqLz.jpg","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/sirajapadoha/status/1774583553285816424","4517167514","sirajapadoha"
"1774583463162855534","Sun Mar 31 23:44:02 +0000 2024","1","UPS...Ketua KPK kini dalam Kasusnya ketua Firli bahuri ( ketua KPK) blom juga ditangkap...(Menghilang atu memang dihilangkan karena banyak memegang kartu Trufnya 🃏Para Koruptor di 02 Rezim Jokowi ini) Gimana mau menangani kasus lain ⁉️ https://t.co/5Zm4zvKNpp","1774583463162855534","https://pbs.twimg.com/ext_tw_video_thumb/1774583269201432576/pu/img/tCxjkd2GJW3IOnci.jpg","","in","Jakarta Selatan, DKI Jakarta","0","0","1","https://x.com/sirajapadoha/status/1774583463162855534","4517167514","sirajapadoha"
"1774583393281593596","Sun Mar 31 23:43:45 +0000 2024","1","Gobloknya keset wc ...di lantik saja belum.....@jokowi anda sdh pensiun kah? ....anda sdh tak di anggap sama keset wc anda","1774583393281593596","","","in","jakarta barat","0","0","0","https://x.com/AzamFiqri1/status/1774583393281593596","1604070445720170497","AzamFiqri1"
"1774452755496849882","Sun Mar 31 23:43:18 +0000 2024","1","@natasha_k83732 @JendralKepitin9 @5teV3n_Pe9eL jelas jelas pak prabowo blg keberlanjutan pak jokowi ya sama aja. bisa jadi lebih brutal","1774583276927328493","","natasha_saja","in","","0","0","0","https://x.com/yohannesuniq/status/1774583276927328493","1711333454267498496","yohannesuniq"
"1774570509356962296","Sun Mar 31 23:40:42 +0000 2024","7","@tempodotco Makelar politik pilpres ! ngarep jatah menteri dari koalisi jokowi - wowo !","1774582625015103550","","tempodotco","in","Indonesia 🇮🇩","0","0","0","https://x.com/Dabniz999/status/1774582625015103550","775526924948955136","Dabniz999"
